Player,Pos,Rank,Team,Projection,Tier
Tre' Harris,WR,170,LAC,60.83,7
Dontayvion Wicks,WR,171,PHI,69.3,7
Bryce Young,QB,172,CAR,189.58,7
T.J. Hockenson,TE,173,MIN,86.54,6
Terrance Ferguson,TE,174,LAR,81.03,6
Kayshon Boutte,WR,175,HOU,71.71,7
Emmett Johnson,RB,176,KC,65.38,8
Jalen Nailor,WR,177,LV,77.92,7
Oronde Gadsden,TE,178,LAC,70.77,7
Pat Bryant,WR,179,DEN,52,8
Ryan Flournoy,WR,180,DAL,59.61,8
Omar Cooper,WR,181,NYJ,80.89,6
Malik Washington,WR,182,MIA,68.41,7
Sean Tucker,RB,183,TB,32.66,10
Jacoby Brissett,QB,184,ARI,174.02,8
Kimani Vidal,RB,185,LAC,44.77,9
Calvin Ridley,WR,186,TEN,87.68,6
Kenyon Sadiq,TE,187,NYJ,82.05,6
Keenan Allen,WR,188,IND,80.25,6
Tank Dell,WR,189,HOU,84.83,6
Nicholas Singleton,RB,190,TEN,58.89,9
Jaylin Noel,WR,191,HOU,67.56,7
Gunnar Helm,TE,192,TEN,72.35,7
Travis Hunter,WR,193,JAC,67.95,7
Geno Smith,QB,195,NYJ,175.38,8
Jaydon Blue,RB,197,DAL,42.77,9
Rashod Bateman,WR,198,BAL,80.7,6
Isaac TeSlaa,WR,199,DET,56.3,8
Cade Otton,TE,202,TB,81.88,6
Kaytron Allen,RB,203,WAS,59.35,9
Pat Freiermuth,TE,204,PIT,83.12,6
Aaron Rodgers,QB,205,PIT,166.46,9
Emanuel Wilson,RB,208,SEA,41.08,9
James Conner,RB,213,ARI,43.86,9
Darnell Mooney,WR,216,NYG,45.66,8
Cooper Kupp,WR,218,SEA,71.63,7
George Holani,RB,219,SEA,34.48,10
Jaylen Wright,RB,222,MIA,39.03,9
David Njoku,TE,227,LAC,71.29,7
Fernando Mendoza,QB,230,LV,144.32,10
Evan Engram,TE,233,DEN,71.94,7
Colby Parkinson,TE,237,LAR,64.82,7
Ollie Gordon,RB,239,MIA,28.55,10
Kaelon Black,RB,243,SF,81.23,8
Justice Hill,RB,244,BAL,63.34,8
